"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"QB","Peyton Manning",8800,"KC@Den 04:25PM ET",27.325
"WR","Calvin Johnson",8500,"Det@Car 01:00PM ET",23.229
"QB","Andrew Luck",8400,"Phi@Ind 08:30PM ET",20.641
"QB","Drew Brees",8300,"NO@Cle 01:00PM ET",24.297
"QB","Matthew Stafford",8300,"Det@Car 01:00PM ET",19.994
"RB","LeSean McCoy",8200,"Phi@Ind 08:30PM ET",22.047
"WR","A.J. Green",8200,"Atl@Cin 01:00PM ET",19.471
"QB","Matt Ryan",8100,"Atl@Cin 01:00PM ET",18.131
"QB","Nick Foles",8100,"Phi@Ind 08:30PM ET",20.417
"WR","Brandon Marshall",8000,"Chi@SF 08:30PM ET",20.219
"RB","Matt Forte",8000,"Chi@SF 08:30PM ET",22.144
"QB","Aaron Rodgers",7900,"NYJ@GB 04:25PM ET",19.962
"QB","Colin Kaepernick",7900,"Chi@SF 08:30PM ET",18.243
"QB","Jay Cutler",7700,"Chi@SF 08:30PM ET",17.240
"QB","Cam Newton",7700,"Det@Car 01:00PM ET",19.573
"WR","Antonio Brown",7600,"Pit@Bal 08:25PM ET",20.619
"RB","Le'Veon Bell",7600,"Pit@Bal 08:25PM ET",16.992
"QB","Andy Dalton",7500,"Atl@Cin 01:00PM ET",20.352
"RB","DeMarco Murray",7500,"Dal@Ten 01:00PM ET",19.150
"WR","Julio Jones",7500,"Atl@Cin 01:00PM ET",23.940
"RB","Adrian Peterson",7400,"NE@Min 01:00PM ET",17.907
"RB","Jamaal Charles",7400,"KC@Den 04:25PM ET",24.800
"QB","Carson Palmer",7300,"Ari@NYG 01:00PM ET",16.079
"QB","Ben Roethlisberger",7300,"Pit@Bal 08:25PM ET",18.365
"QB","Robert Griffin III",7300,"Jax@Was 01:00PM ET",18.309
"RB","Marshawn Lynch",7200,"Sea@SD 04:05PM ET",18.179
"QB","Jake Locker",7100,"Dal@Ten 01:00PM ET",15.391
"WR","Dez Bryant",7100,"Dal@Ten 01:00PM ET",19.088
"QB","Russell Wilson",7100,"Sea@SD 04:05PM ET",17.334
"TE","Julius Thomas",7100,"KC@Den 04:25PM ET",15.153
"QB","Tom Brady",7000,"NE@Min 01:00PM ET",17.396
"RB","Arian Foster",7000,"Hou@Oak 04:25PM ET",14.313
"TE","Jimmy Graham",7000,"NO@Cle 01:00PM ET",18.372
"WR","Demaryius Thomas",7000,"KC@Den 04:25PM ET",22.032
"QB","Tony Romo",6800,"Dal@Ten 01:00PM ET",18.928
"RB","Montee Ball",6800,"KC@Den 04:25PM ET",6.868
"WR","Jordy Nelson",6600,"NYJ@GB 04:25PM ET",17.565
"QB","Ryan Tannehill",6500,"Mia@Buf 01:00PM ET",17.208
"QB","Derek Anderson",6400,"Det@Car 01:00PM ET",0.000
"WR","Andre Johnson",6400,"Hou@Oak 04:25PM ET",18.606
"QB","Joe Flacco",6400,"Pit@Bal 08:25PM ET",15.036
"WR","Percy Harvin",6400,"Sea@SD 04:05PM ET",6.900
"WR","Pierre Garcon",6400,"Jax@Was 01:00PM ET",18.344
"WR","Randall Cobb",6400,"NYJ@GB 04:25PM ET",17.043
"QB","Alex Smith",6300,"KC@Den 04:25PM ET",18.940
"RB","Giovani Bernard",6300,"Atl@Cin 01:00PM ET",14.218
"WR","Cordarrelle Patterson",6300,"NE@Min 01:00PM ET",10.294
"QB","Eli Manning",6200,"Ari@NYG 01:00PM ET",13.020
"WR","Larry Fitzgerald",6200,"Ari@NYG 01:00PM ET",15.200
"QB","Philip Rivers",6200,"Sea@SD 04:05PM ET",19.034
"WR","Julian Edelman",6200,"NE@Min 01:00PM ET",16.833
"WR","Alshon Jeffery",6200,"Chi@SF 08:30PM ET",18.725
"QB","Geno Smith",6200,"NYJ@GB 04:25PM ET",13.921
"WR","Roddy White",6100,"Atl@Cin 01:00PM ET",11.221
"WR","Jeremy Maclin",6100,"Phi@Ind 08:30PM ET",0
"WR","Mike Wallace",6100,"Mia@Buf 01:00PM ET",13.206
"RB","Reggie Bush",6000,"Det@Car 01:00PM ET",18.229
"WR","Victor Cruz",6000,"Ari@NYG 01:00PM ET",14.843
"QB","Chad Henne",6000,"Jax@Was 01:00PM ET",12.289
"WR","Emmanuel Sanders",6000,"KC@Den 04:25PM ET",11.344
"RB","C.J. Spiller",6000,"Mia@Buf 01:00PM ET",11.187
"TE","Rob Gronkowski",6000,"NE@Min 01:00PM ET",18.743
"WR","Michael Floyd",6000,"Ari@NYG 01:00PM ET",12.819
"QB","EJ Manuel",6000,"Mia@Buf 01:00PM ET",14.548
"RB","Eddie Lacy",6000,"NYJ@GB 04:25PM ET",16.644
"TE","Greg Olsen",5900,"Det@Car 01:00PM ET",11.771
"RB","Chris Johnson",5900,"NYJ@GB 04:25PM ET",15.513
"RB","Shane Vereen",5900,"NE@Min 01:00PM ET",16.010
"WR","Kelvin Benjamin",5900,"Det@Car 01:00PM ET",0
"WR","Kendall Wright",5800,"Dal@Ten 01:00PM ET",13.744
"RB","Andre Ellington",5800,"Ari@NYG 01:00PM ET",11.220
"QB","Josh McCown",5700,"StL@TB 04:05PM ET",18.383
"TE","Vernon Davis",5700,"Chi@SF 08:30PM ET",13.300
"RB","Knowshon Moreno",5700,"Mia@Buf 01:00PM ET",17.516
"TE","Dennis Pitta",5600,"Pit@Bal 08:25PM ET",10.725
"TE","Martellus Bennett",5600,"Chi@SF 08:30PM ET",10.619
"WR","Steve Smith Sr.",5500,"Pit@Bal 08:25PM ET",11.244
"RB","Zac Stacy",5500,"StL@TB 04:05PM ET",14.029
"WR","Marques Colston",5400,"NO@Cle 01:00PM ET",14.312
"WR","Keenan Allen",5400,"Sea@SD 04:05PM ET",16.229
"WR","Reggie Wayne",5300,"Phi@Ind 08:30PM ET",15.114
"WR","Anquan Boldin",5300,"Chi@SF 08:30PM ET",15.774
"WR","Eric Decker",5300,"NYJ@GB 04:25PM ET",16.574
"WR","DeSean Jackson",5300,"Jax@Was 01:00PM ET",17.218
"QB","Derek Carr",5300,"Hou@Oak 04:25PM ET",0
"RB","Joique Bell",5300,"Det@Car 01:00PM ET",13.731
"WR","Brandin Cooks",5300,"NO@Cle 01:00PM ET",0
"QB","Matt Cassel",5200,"NE@Min 01:00PM ET",13.442
"RB","Pierre Thomas",5200,"NO@Cle 01:00PM ET",13.263
"RB","Alfred Morris",5200,"Jax@Was 01:00PM ET",11.956
"WR","Golden Tate",5200,"Det@Car 01:00PM ET",10.895
"WR","Greg Jennings",5100,"NE@Min 01:00PM ET",11.693
"RB","Darren Sproles",5100,"Phi@Ind 08:30PM ET",11.576
"RB","Rashad Jennings",5100,"Ari@NYG 01:00PM ET",12.033
"WR","Michael Crabtree",5100,"Chi@SF 08:30PM ET",11.838
"RB","Doug Martin",5100,"StL@TB 04:05PM ET",12.033
"WR","Allen Hurns",5100,"Jax@Was 01:00PM ET",0
"QB","Matt Hasselbeck",5000,"Phi@Ind 08:30PM ET",1.333
"QB","Michael Vick",5000,"NYJ@GB 04:25PM ET",15.571
"QB","Jason Campbell",5000,"Atl@Cin 01:00PM ET",14.256
"QB","Charlie Whitehurst",5000,"Dal@Ten 01:00PM ET",-0.250
"QB","Tarvaris Jackson",5000,"Sea@SD 04:05PM ET",3.228
"QB","Kyle Orton",5000,"Mia@Buf 01:00PM ET",8.573
"QB","Bruce Gradkowski",5000,"Pit@Bal 08:25PM ET",0
"QB","Ryan Fitzpatrick",5000,"Hou@Oak 04:25PM ET",17.060
"QB","Dan Orlovsky",5000,"Det@Car 01:00PM ET",0.000
"QB","Kellen Clemens",5000,"Sea@SD 04:05PM ET",9.632
"QB","Shaun Hill",5000,"StL@TB 04:05PM ET",-0.100
"QB","Matt Moore",5000,"Mia@Buf 01:00PM ET",0.120
"QB","Drew Stanton",5000,"Ari@NYG 01:00PM ET",0
"WR","Vincent Jackson",5000,"StL@TB 04:05PM ET",15.900
"QB","Matt Flynn",5000,"NYJ@GB 04:25PM ET",11.883
"QB","Matt Schaub",5000,"Hou@Oak 04:25PM ET",12.580
"QB","Luke McCown",5000,"NO@Cle 01:00PM ET",-0.022
"QB","Brian Hoyer",5000,"NO@Cle 01:00PM ET",15.400
"RB","Justin Forsett",5000,"Pit@Bal 08:25PM ET",2.922
"QB","Josh Johnson",5000,"Chi@SF 08:30PM ET",1.000
"QB","Joe Webb",5000,"Det@Car 01:00PM ET",0.519
"QB","Mark Sanchez",5000,"Phi@Ind 08:30PM ET",0
"QB","Chase Daniel",5000,"KC@Den 04:25PM ET",3.624
"QB","Colt McCoy",5000,"Jax@Was 01:00PM ET",-0.020
"QB","T.J. Yates",5000,"Atl@Cin 01:00PM ET",0.840
"QB","Christian Ponder",5000,"NE@Min 01:00PM ET",13.336
"QB","Scott Tolzien",5000,"NYJ@GB 04:25PM ET",14.060
"RB","Toby Gerhart",5000,"Jax@Was 01:00PM ET",4.364
"QB","Case Keenum",5000,"StL@TB 04:05PM ET",14.325
"QB","Jimmy Clausen",5000,"Chi@SF 08:30PM ET",0
"QB","Ryan Mallett",5000,"Hou@Oak 04:25PM ET",0
"QB","Kellen Moore",5000,"Det@Car 01:00PM ET",0
"QB","Brandon Weeden",5000,"Dal@Ten 01:00PM ET",12.955
"WR","Torrey Smith",5000,"Pit@Bal 08:25PM ET",13.113
"QB","Tyrod Taylor",5000,"Pit@Bal 08:25PM ET",2.360
"QB","Austin Davis",5000,"StL@TB 04:05PM ET",0
"QB","Kirk Cousins",5000,"Jax@Was 01:00PM ET",9.112
"QB","Landry Jones",5000,"Pit@Bal 08:25PM ET",0
"QB","Blaine Gabbert",5000,"Chi@SF 08:30PM ET",6.480
"QB","Sean Renfree",5000,"Atl@Cin 01:00PM ET",0
"QB","Mike Glennon",5000,"StL@TB 04:05PM ET",13.155
"QB","Ryan Nassib",5000,"Ari@NYG 01:00PM ET",0
"WR","T.Y. Hilton",5000,"Phi@Ind 08:30PM ET",16.867
"QB","Matt McGloin",5000,"Hou@Oak 04:25PM ET",12.511
"QB","Matt Barkley",5000,"Phi@Ind 08:30PM ET",2.267
"QB","Zach Mettenberger",5000,"Dal@Ten 01:00PM ET",0
"QB","Aaron Murray",5000,"KC@Den 04:25PM ET",0
"QB","Brock Osweiler",5000,"KC@Den 04:25PM ET",1.000
"QB","Logan Thomas",5000,"Ari@NYG 01:00PM ET",0
"QB","Tom Savage",5000,"Hou@Oak 04:25PM ET",0
"QB","David Fales",5000,"Chi@SF 08:30PM ET",0
"QB","Jimmy Garoppolo",5000,"NE@Min 01:00PM ET",0
"QB","Blake Bortles",5000,"Jax@Was 01:00PM ET",0
"QB","Teddy Bridgewater",5000,"NE@Min 01:00PM ET",0
"QB","Johnny Manziel",5000,"NO@Cle 01:00PM ET",0
"QB","Dustin Vaughan",5000,"Dal@Ten 01:00PM ET",0
"RB","Frank Gore",4900,"Chi@SF 08:30PM ET",12.205
"WR","Andrew Hawkins",4900,"NO@Cle 01:00PM ET",4.133
"WR","Markus Wheaton",4900,"Pit@Bal 08:25PM ET",1.033
"WR","Donnie Avery",4800,"KC@Den 04:25PM ET",7.594
"RB","Chris Ivory",4800,"NYJ@GB 04:25PM ET",7.553
"WR","Brian Quick",4800,"StL@TB 04:05PM ET",3.763
"RB","Bobby Rainey",4800,"StL@TB 04:05PM ET",7.325
"TE","Zach Ertz",4800,"Phi@Ind 08:30PM ET",6.947
"WR","DeAndre Hopkins",4800,"Hou@Oak 04:25PM ET",9.138
"RB","Terrance West",4800,"NO@Cle 01:00PM ET",0
"WR","Hakeem Nicks",4700,"Phi@Ind 08:30PM ET",10.307
"WR","Terrance Williams",4700,"Dal@Ten 01:00PM ET",9.438
"RB","Ben Tate",4600,"NO@Cle 01:00PM ET",10.721
"RB","Trent Richardson",4600,"Phi@Ind 08:30PM ET",8.056
"RB","Lamar Miller",4600,"Mia@Buf 01:00PM ET",7.994
"WR","Rod Streater",4600,"Hou@Oak 04:25PM ET",11.031
"WR","Dwayne Bowe",4500,"KC@Den 04:25PM ET",11.644
"RB","James Starks",4500,"NYJ@GB 04:25PM ET",7.171
"RB","Danny Woodhead",4500,"Sea@SD 04:05PM ET",13.728
"RB","Ryan Mathews",4500,"Sea@SD 04:05PM ET",13.356
